method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
lcamap,2,11,10,15,30.0,2.0,0.0,0.087186
segdup,2,11,10,20,40,2,0,176.090174
insider,2,11,10,20,40.0,2.0,0.0,0.130587
fastmultrec_greedy,2,11,10,20,40.0,2.0,0.0,0.513146
lcamap,2,11,10,20,40.0,2.0,0.0,0.087098
segdup,2,11,10,25,50,2,0,107.051409
insider,2,11,10,25,50.0,2.0,0.0,0.134482
fastmultrec_greedy,2,11,10,25,50.0,2.0,0.0,0.510617
lcamap,2,11,10,25,50.0,2.0,0.0,0.084539
segdup,2,11,10,5,10,2,0,234.114140
insider,2,11,10,5,10.0,2.0,0.0,0.131347
fastmultrec_greedy,2,11,10,5,10.0,2.0,0.0,0.517589
lcamap,2,11,10,5,10.0,2.0,0.0,0.085318
segdup,2,15,10,10,20,2,0,213.366027
insider,2,15,10,10,20.0,2.0,0.0,0.130995
fastmultrec_greedy,2,15,10,10,20.0,2.0,0.0,0.576232
lcamap,2,15,10,10,20.0,2.0,0.0,0.078152
segdup,2,15,10,15,30,2,0,219.320290
insider,2,15,10,15,30.0,2.0,0.0,0.131588
fastmultrec_greedy,2,15,10,15,30.0,2.0,0.0,0.578979
lcamap,2,15,10,15,30.0,2.0,0.0,0.081318
segdup,2,15,10,20,40,2,0,135.590562
insider,2,15,10,20,40.0,2.0,0.0,0.129895
fastmultrec_greedy,2,15,10,20,40.0,2.0,0.0,0.572012
lcamap,2,15,10,20,40.0,2.0,0.0,0.079970
segdup,2,15,10,25,50,2,0,133.151767
insider,2,15,10,25,50.0,2.0,0.0,0.130915
fastmultrec_greedy,2,15,10,25,50.0,2.0,0.0,0.578849
lcamap,2,15,10,25,50.0,2.0,0.0,0.080919
segdup,2,15,10,5,10,2,0,285.992330
insider,2,15,10,5,10.0,2.0,0.0,0.130855
fastmultrec_greedy,2,15,10,5,10.0,2.0,0.0,0.580173
lcamap,2,15,10,5,10.0,2.0,0.0,0.081528
segdup,2,8,10,10,1585,111,475,187.917282
insider,2,8,10,10,1548.0,101.0,538.0,0.488578
fastmultrec_greedy,2,8,10,10,1567.0,108.0,487.0,1.597301
lcamap,2,8,10,10,1585.0,111.0,475.0,0.081104
segdup,2,8,10,15,2140,111,475,181.756348
insider,2,8,10,15,2039.0,95.0,614.0,1.368322
fastmultrec_greedy,2,8,10,15,2104.0,107.0,499.0,2.010205
lcamap,2,8,10,15,2140.0,111.0,475.0,0.082759
segdup,2,8,10,20,2695,111,475,178.490276
insider,2,8,10,20,2500.0,89.0,720.0,4.645506
fastmultrec_greedy,2,8,10,20,2634.0,106.0,514.0,2.390925
lcamap,2,8,10,20,2695.0,111.0,475.0,0.081887
segdup,2,8,10,25,3250,111,475,185.334082
insider,2,8,10,25,2935.0,85.0,810.0,20.698167
fastmultrec_greedy,2,8,10,25,3164.0,106.0,514.0,2.391330
lcamap,2,8,10,25,3250.0,111.0,475.0,0.082083
segdup,2,8,10,5,1030,111,475,197.027210
insider,2,8,10,5,1026.0,109.0,481.0,0.248889
fastmultrec_greedy,2,8,10,5,1026.0,109.0,481.0,1.197937
lcamap,2,8,10,5,1030.0,111.0,475.0,0.083320
segdup,2,9,10,10,70,6,10,110.042253
insider,2,9,10,10,70.0,6.0,10.0,0.097575
fastmultrec_greedy,2,9,10,10,70.0,6.0,10.0,0.315019
lcamap,2,9,10,10,70.0,6.0,10.0,0.049979
segdup,2,9,10,15,100,6,10,91.526102
insider,2,9,10,15,100.0,6.0,10.0,0.100615
fastmultrec_greedy,2,9,10,15,100.0,6.0,10.0,0.315669
lcamap,2,9,10,15,100.0,6.0,10.0,0.055795
segdup,2,9,10,20,130,6,10,70.823755
insider,2,9,10,20,130.0,6.0,10.0,0.104568
fastmultrec_greedy,2,9,10,20,130.0,6.0,10.0,0.316401
lcamap,2,9,10,20,130.0,6.0,10.0,0.050492
segdup,2,9,10,25,160,6,10,69.431246
insider,2,9,10,25,160.0,6.0,10.0,0.107212
fastmultrec_greedy,2,9,10,25,160.0,6.0,10.0,0.316828
lcamap,2,9,10,25,160.0,6.0,10.0,0.050753
segdup,2,9,10,5,40,6,10,116.892731
insider,2,9,10,5,40.0,6.0,10.0,0.094916
fastmultrec_greedy,2,9,10,5,40.0,6.0,10.0,0.320938
lcamap,2,9,10,5,40.0,6.0,10.0,0.050694
segdup,1,10,11,10,10,1,0,52.798561
insider,1,10,11,10,10.0,1.0,0.0,0.029304
fastmultrec_greedy,1,10,11,10,10.0,1.0,0.0,0.083718
lcamap,1,10,11,10,10.0,1.0,0.0,0.015869
segdup,1,10,11,15,15,1,0,31.769185
insider,1,10,11,15,15.0,1.0,0.0,0.028342
fastmultrec_greedy,1,10,11,15,15.0,1.0,0.0,0.083597
lcamap,1,10,11,15,15.0,1.0,0.0,0.015705
segdup,1,10,11,20,20,1,0,29.867408
insider,1,10,11,20,20.0,1.0,0.0,0.029900
fastmultrec_greedy,1,10,11,20,20.0,1.0,0.0,0.084024
lcamap,1,10,11,20,20.0,1.0,0.0,0.015836
segdup,1,10,11,25,25,1,0,29.740758
insider,1,10,11,25,25.0,1.0,0.0,0.028353
fastmultrec_greedy,1,10,11,25,25.0,1.0,0.0,0.084101
lcamap,1,10,11,25,25.0,1.0,0.0,0.016052
segdup,1,10,11,5,5,1,0,53.057537
insider,1,10,11,5,5.0,1.0,0.0,0.030163
fastmultrec_greedy,1,10,11,5,5.0,1.0,0.0,0.083300
lcamap,1,10,11,5,5.0,1.0,0.0,0.015688
segdup,1,11,11,10,11,1,1,81.448167
insider,1,11,11,10,11.0,1.0,1.0,0.045589
fastmultrec_greedy,1,11,11,10,11.0,1.0,1.0,0.164030
lcamap,1,11,11,10,11.0,1.0,1.0,0.027979
